,pop_18,white_18,hh_18,hinc_18,mhval_18,mhval_18_se,mrent_18,mrent_18_se,total_25_18,total_25_col_bd_18,total_25_col_md_18,total_25_col_pd_18,total_25_col_phd_18,tot_units_built_18,units_40_49_built_18,units_39_early_built_18,ohu_18,rhu_18,mmhcosts_18,iinc_18,I_10000_18,I_15000_18,I_20000_18,I_25000_18,I_30000_18,I_35000_18,I_40000_18,I_45000_18,I_50000_18,I_60000_18,I_75000_18,I_100000_18,I_125000_18,I_150000_18,I_200000_18,I_201000_18,mov_wc_w_income_18,mov_wc_9000_18,mov_wc_15000_18,mov_wc_25000_18,mov_wc_35000_18,mov_wc_50000_18,mov_wc_65000_18,mov_wc_75000_18,mov_wc_76000_more_18,mov_oc_w_income_18,mov_oc_9000_18,mov_oc_15000_18,GEO_ID,state_x,county_x,tract_x,mov_oc_25000_18,mov_oc_35000_18,mov_oc_50000_18,mov_oc_65000_18,mov_oc_75000_18,mov_oc_76000_more_18,mov_os_w_income_18,mov_os_9000_18,mov_os_15000_18,mov_os_25000_18,mov_os_35000_18,mov_os_50000_18,mov_os_65000_18,mov_os_75000_18,mov_os_76000_more_18,mov_fa_w_income_18,mov_fa_9000_18,mov_fa_15000_18,mov_fa_25000_18,mov_fa_35000_18,mov_fa_50000_18,mov_fa_65000_18,mov_fa_75000_18,mov_fa_76000_more_18,FIPS,mhval_12,mhval_12_se,mrent_12,mrent_12_se,mov_wc_w_income_12,mov_wc_9000_12,mov_wc_15000_12,mov_wc_25000_12,mov_wc_35000_12,mov_wc_50000_12,mov_wc_65000_12,mov_wc_75000_12,mov_wc_76000_more_12,mov_oc_w_income_12,mov_oc_9000_12,mov_oc_15000_12,mov_oc_25000_12,mov_oc_35000_12,mov_oc_50000_12,mov_oc_65000_12,mov_oc_75000_12,mov_oc_76000_more_12,mov_os_w_income_12,mov_os_9000_12,mov_os_15000_12,mov_os_25000_12,mov_os_35000_12,mov_os_50000_12,mov_os_65000_12,mov_os_75000_12,mov_os_76000_more_12,mov_fa_w_income_12,mov_fa_9000_12,mov_fa_15000_12,mov_fa_25000_12,mov_fa_35000_12,mov_fa_50000_12,mov_fa_65000_12,mov_fa_75000_12,mov_fa_76000_more_12,iinc_12,state_y,county_y,tract_y
0,2178.0,1538.0,802.0,104615.0,834900.0,34095.0,2304.0,258.0,1569.0,497.0,216.0,76.0,101.0,819.0,81.0,89.0,639.0,163.0,2380.0,41726.0,14.0,18.0,9.0,27.0,0.0,29.0,17.0,21.0,0.0,22.0,105.0,128.0,69.0,27.0,117.0,199.0,55.0,19.0,14.0,0.0,4.0,4.0,4.0,6.0,4.0,61.0,32.0,9.0,1400000US06087100100,06,087,100100,13.0,0.0,0.0,0.0,0.0,7.0,20.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06087100100,678300.0,49542.0,2001.0,-333333333.0,193.0,51.0,8.0,43.0,0.0,40.0,0.0,2.0,49.0,38.0,0.0,6.0,9.0,12.0,11.0,0.0,0.0,0.0,35.0,14.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35866.0,06,087,100100
1,6406.0,4122.0,2604.0,82615.0,707500.0,45039.0,1630.0,273.0,4724.0,1141.0,637.0,148.0,101.0,2712.0,254.0,882.0,1496.0,1108.0,1816.0,34623.0,84.0,149.0,130.0,138.0,131.0,117.0,64.0,89.0,70.0,128.0,132.0,308.0,296.0,164.0,269.0,335.0,677.0,83.0,83.0,282.0,102.0,29.0,0.0,0.0,98.0,336.0,89.0,0.0,1400000US06087100200,06,087,100200,0.0,43.0,69.0,17.0,17.0,101.0,40.0,21.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06087100200,629800.0,20921.0,1467.0,101.0,1155.0,606.0,132.0,77.0,108.0,124.0,64.0,43.0,1.0,185.0,35.0,104.0,19.0,1.0,0.0,0.0,26.0,0.0,67.0,14.0,0.0,0.0,7.0,0.0,26.0,20.0,0.0,52.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25851.0,06,087,100200
2,3480.0,2587.0,1249.0,108512.0,1103000.0,66717.0,1491.0,467.0,2460.0,861.0,353.0,84.0,195.0,1346.0,40.0,195.0,893.0,356.0,1965.0,39403.0,64.0,82.0,0.0,26.0,11.0,51.0,27.0,10.0,0.0,20.0,126.0,178.0,142.0,59.0,133.0,320.0,290.0,126.0,38.0,15.0,0.0,34.0,40.0,19.0,18.0,149.0,19.0,5.0,1400000US06087100300,06,087,100300,38.0,0.0,35.0,42.0,10.0,0.0,22.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,06087100300,797300.0,83068.0,1793.0,696.0,454.0,192.0,68.0,137.0,0.0,5.0,35.0,0.0,17.0,127.0,84.0,37.0,6.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27275.0,06,087,100300
3,10299.0,3499.0,473.0,46375.0,343100.0,78110.0,1651.0,101.0,906.0,200.0,215.0,37.0,170.0,492.0,14.0,0.0,177.0,296.0,1575.0,3752.0,108.0,29.0,10.0,31.0,17.0,11.0,13.0,12.0,10.0,32.0,27.0,5.0,24.0,46.0,31.0,67.0,862.0,677.0,45.0,54.0,31.0,22.0,10.0,0.0,23.0,1801.0,1525.0,91.0,1400000US06087100400,06,087,100400,120.0,55.0,10.0,0.0,0.0,0.0,311.0,225.0,19.0,52.0,0.0,15.0,0.0,0.0,0.0,202.0,144.0,45.0,4.0,6.0,0.0,3.0,0.0,0.0,06087100400,276200.0,29032.0,1392.0,37.0,456.0,369.0,50.0,18.0,9.0,1.0,9.0,0.0,0.0,1863.0,1648.0,54.0,99.0,0.0,62.0,0.0,0.0,0.0,287.0,139.0,59.0,14.0,61.0,3.0,11.0,0.0,0.0,91.0,26.0,31.0,34.0,0.0,0.0,0.0,0.0,0.0,3487.0,06,087,100400
4,6847.0,4772.0,2435.0,78685.0,810200.0,56513.0,2241.0,136.0,2915.0,716.0,763.0,190.0,160.0,2490.0,29.0,6.0,1118.0,1317.0,2156.0,21566.0,224.0,95.0,160.0,152.0,107.0,70.0,47.0,51.0,75.0,101.0,89.0,352.0,280.0,138.0,96.0,398.0,967.0,650.0,16.0,141.0,0.0,74.0,33.0,0.0,53.0,452.0,232.0,17.0,1400000US06087100500,06,087,100500,134.0,0.0,27.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06087100500,698200.0,107497.0,1836.0,132.0,782.0,317.0,70.0,86.0,77.0,100.0,67.0,0.0,65.0,155.0,72.0,41.0,42.0,0.0,0.0,0.0,0.0,0.0,136.0,20.0,0.0,25.0,0.0,27.0,51.0,0.0,13.0,84.0,34.0,0.0,19.0,21.0,10.0,0.0,0.0,0.0,30510.0,06,087,100500
5,3647.0,2463.0,1279.0,93472.0,848700.0,40492.0,2118.0,274.0,2198.0,791.0,450.0,111.0,126.0,1373.0,292.0,654.0,807.0,472.0,2251.0,33730.0,105.0,16.0,32.0,17.0,16.0,15.0,65.0,20.0,16.0,60.0,156.0,154.0,200.0,124.0,70.0,213.0,481.0,179.0,107.0,38.0,44.0,26.0,50.0,7.0,30.0,55.0,31.0,7.0,1400000US06087100600,06,087,100600,0.0,0.0,0.0,17.0,0.0,0.0,94.0,51.0,0.0,13.0,15.0,0.0,0.0,15.0,0.0,33.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,06087100600,689800.0,51881.0,1220.0,490.0,304.0,165.0,0.0,101.0,15.0,0.0,0.0,0.0,23.0,58.0,12.0,0.0,0.0,22.0,0.0,0.0,0.0,24.0,24.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,10.0,35084.0,06,087,100600
6,1936.0,1463.0,1017.0,47083.0,603900.0,148860.0,1290.0,177.0,1383.0,372.0,237.0,44.0,117.0,1107.0,77.0,222.0,438.0,579.0,1409.0,30072.0,74.0,65.0,47.0,75.0,34.0,72.0,66.0,58.0,33.0,96.0,132.0,31.0,72.0,27.0,35.0,100.0,222.0,63.0,25.0,13.0,16.0,34.0,0.0,13.0,58.0,80.0,17.0,12.0,1400000US06087100700,06,087,100700,8.0,0.0,23.0,7.0,0.0,13.0,29.0,0.0,19.0,10.0,0.0,0.0,0.0,0.0,0.0,46.0,36.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,06087100700,549400.0,228545.0,1024.0,185.0,301.0,74.0,30.0,30.0,5.0,70.0,17.0,9.0,66.0,36.0,21.0,0.0,13.0,0.0,0.0,2.0,0.0,0.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,45.0,7.0,0.0,0.0,0.0,0.0,19.0,19.0,0.0,29931.0,06,087,100700
7,7154.0,4182.0,3176.0,56983.0,643800.0,52411.0,1751.0,79.0,4954.0,1133.0,598.0,124.0,203.0,3272.0,212.0,819.0,728.0,2448.0,1789.0,27779.0,311.0,278.0,82.0,44.0,177.0,181.0,120.0,70.0,69.0,421.0,186.0,355.0,255.0,139.0,251.0,237.0,768.0,220.0,80.0,147.0,139.0,25.0,95.0,48.0,14.0,230.0,58.0,20.0,1400000US06087100800,06,087,100800,34.0,68.0,31.0,0.0,0.0,19.0,105.0,0.0,0.0,0.0,0.0,37.0,36.0,0.0,32.0,61.0,0.0,0.0,0.0,0.0,0.0,20.0,41.0,0.0,06087100800,662200.0,52778.0,1441.0,115.0,1549.0,796.0,142.0,234.0,196.0,109.0,72.0,0.0,0.0,483.0,128.0,122.0,130.0,60.0,0.0,0.0,43.0,0.0,118.0,0.0,11.0,0.0,0.0,13.0,53.0,13.0,28.0,62.0,16.0,0.0,29.0,17.0,0.0,0.0,0.0,0.0,23074.0,06,087,100800
8,4453.0,3486.0,1932.0,81296.0,753700.0,74109.0,1968.0,203.0,3250.0,977.0,520.0,77.0,45.0,2391.0,491.0,330.0,963.0,969.0,1976.0,40517.0,145.0,88.0,28.0,126.0,45.0,66.0,37.0,100.0,14.0,85.0,158.0,337.0,138.0,218.0,178.0,169.0,168.0,78.0,16.0,0.0,0.0,28.0,0.0,0.0,46.0,125.0,25.0,0.0,1400000US06087100900,06,087,100900,23.0,34.0,0.0,15.0,0.0,28.0,54.0,0.0,29.0,0.0,0.0,11.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,06087100900,658100.0,34579.0,1424.0,327.0,176.0,5.0,50.0,50.0,14.0,0.0,25.0,0.0,32.0,247.0,76.0,14.0,32.0,35.0,0.0,0.0,0.0,90.0,84.0,70.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27559.0,06,087,100900
9,7890.0,4246.0,3463.0,33022.0,707300.0,133424.0,1477.0,117.0,4526.0,1018.0,591.0,138.0,133.0,3876.0,509.0,809.0,767.0,2696.0,1438.0,21203.0,549.0,403.0,218.0,329.0,186.0,147.0,141.0,156.0,0.0,270.0,200.0,269.0,93.0,40.0,233.0,229.0,1056.0,424.0,217.0,78.0,63.0,143.0,75.0,18.0,38.0,697.0,305.0,65.0,1400000US06087101000,06,087,101000,181.0,18.0,0.0,22.0,86.0,20.0,246.0,0.0,66.0,26.0,38.0,58.0,19.0,35.0,4.0,41.0,0.0,0.0,21.0,0.0,0.0,20.0,0.0,0.0,06087101000,516400.0,96115.0,1317.0,124.0,1583.0,685.0,157.0,393.0,105.0,192.0,39.0,12.0,0.0,489.0,252.0,59.0,86.0,42.0,17.0,0.0,13.0,20.0,365.0,71.0,60.0,131.0,12.0,65.0,0.0,0.0,26.0,96.0,56.0,23.0,0.0,0.0,0.0,0.0,0.0,17.0,17291.0,06,087,101000
10,5509.0,4352.0,2277.0,97292.0,861200.0,50322.0,2256.0,172.0,3956.0,1354.0,650.0,139.0,223.0,2496.0,276.0,501.0,1361.0,916.0,2336.0,40659.0,207.0,32.0,43.0,133.0,55.0,37.0,20.0,82.0,53.0,105.0,135.0,239.0,205.0,197.0,345.0,389.0,488.0,215.0,50.0,67.0,19.0,23.0,59.0,0.0,55.0,262.0,60.0,30.0,1400000US06087101100,06,087,101100,28.0,0.0,8.0,19.0,17.0,100.0,59.0,23.0,3.0,33.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06087101100,696800.0,73402.0,1620.0,179.0,490.0,117.0,72.0,195.0,5.0,61.0,11.0,0.0,29.0,219.0,40.0,1.0,53.0,20.0,0.0,16.0,18.0,71.0,28.0,9.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,63.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,29383.0,06,087,101100
11,3268.0,2353.0,1221.0,75893.0,907300.0,69078.0,2289.0,472.0,2019.0,717.0,271.0,73.0,69.0,1425.0,37.0,128.0,768.0,453.0,1833.0,25051.0,94.0,25.0,35.0,27.0,12.0,134.0,41.0,70.0,10.0,60.0,100.0,155.0,55.0,80.0,108.0,215.0,204.0,149.0,0.0,0.0,22.0,14.0,7.0,12.0,0.0,174.0,77.0,43.0,1400000US06087101200,06,087,101200,0.0,0.0,13.0,14.0,0.0,27.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,06087101200,660200.0,59493.0,1915.0,260.0,324.0,118.0,46.0,39.0,18.0,26.0,10.0,7.0,60.0,83.0,39.0,7.0,11.0,6.0,0.0,13.0,0.0,7.0,81.0,7.0,0.0,42.0,22.0,0.0,0.0,0.0,10.0,25.0,6.0,0.0,0.0,0.0,12.0,0.0,0.0,7.0,24474.0,06,087,101200
12,7992.0,1712.0,2464.0,54137.0,414900.0,35213.0,1399.0,150.0,4872.0,512.0,173.0,32.0,25.0,2590.0,156.0,82.0,1166.0,1298.0,1409.0,25903.0,104.0,152.0,132.0,111.0,98.0,188.0,71.0,179.0,67.0,289.0,224.0,358.0,195.0,156.0,108.0,32.0,362.0,31.0,94.0,69.0,0.0,103.0,51.0,14.0,0.0,34.0,0.0,0.0,1400000US06087110100,06,087,110100,0.0,24.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,06087110100,321100.0,23537.0,1148.0,242.0,571.0,115.0,131.0,53.0,48.0,73.0,119.0,32.0,0.0,105.0,0.0,52.0,15.0,0.0,16.0,22.0,0.0,0.0,150.0,101.0,7.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18698.0,06,087,110100
13,7578.0,1711.0,2121.0,55475.0,566600.0,42392.0,1466.0,276.0,4562.0,435.0,153.0,49.0,42.0,2310.0,311.0,581.0,1024.0,1097.0,1595.0,24110.0,25.0,142.0,47.0,120.0,24.0,97.0,229.0,138.0,212.0,84.0,150.0,185.0,179.0,215.0,158.0,116.0,130.0,0.0,60.0,70.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,1400000US06087110200,06,087,110200,25.0,38.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06087110200,424600.0,32232.0,1205.0,226.0,469.0,69.0,30.0,170.0,42.0,119.0,24.0,15.0,0.0,65.0,17.0,0.0,0.0,8.0,11.0,19.0,0.0,10.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21153.0,06,087,110200
14,7601.0,305.0,1838.0,46773.0,442900.0,42792.0,1224.0,129.0,4075.0,224.0,27.0,10.0,0.0,1919.0,183.0,715.0,284.0,1554.0,1254.0,20740.0,107.0,194.0,111.0,87.0,85.0,80.0,142.0,74.0,104.0,162.0,257.0,142.0,152.0,54.0,48.0,39.0,363.0,54.0,8.0,183.0,51.0,21.0,46.0,0.0,0.0,141.0,53.0,4.0,1400000US06087110300,06,087,110300,39.0,25.0,20.0,0.0,0.0,0.0,48.0,10.0,4.0,9.0,25.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,06087110300,259500.0,43963.0,1079.0,83.0,498.0,126.0,88.0,107.0,90.0,80.0,7.0,0.0,0.0,246.0,56.0,33.0,84.0,19.0,54.0,0.0,0.0,0.0,43.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,15568.0,06,087,110300
